Geography,"Allocated
Case Count (Raw)","COVID-19
Total Rate (Suppressed)",date
Alpine,,,4/27/2020
Anza-Borrego Springs,,,4/27/2020
Carlsbad,54.6,43.532,4/27/2020
Central Region,675,130.361,4/27/2020
Central San Diego,273.69,130.846,4/27/2020
Chula Vista,211.41,171.745,4/27/2020
City of Carlsbad,51.86,45.242,4/27/2020
City of Chula Vista,424.35,158.635,4/27/2020
City of Coronado,8,36.895,4/27/2020
City of Del Mar,5.33,123.314,4/27/2020
City of El Cajon,166.56,157.789,4/27/2020
City of Encinitas,31.6,50.034,4/27/2020
City of Escondido,94.6,62.454,4/27/2020
City of Imperial Beach,24,85.218,4/27/2020
City of La Mesa,69.9,114.106,4/27/2020
City of Lemon Grove,33,122.978,4/27/2020
City of National City,120.12,192.939,4/27/2020
City of Oceanside,72.08,40.638,4/27/2020
City of Poway,30.93,61.612,4/27/2020
City of San Diego,1614.51,113.71,4/27/2020
City of San Marcos,31.92,33.335,4/27/2020
City of Santee,29.3,51.411,4/27/2020
City of Solana Beach,6.14,44.082,4/27/2020
City of Vista,48.9,47.297,4/27/2020
Coastal,60.45,70.344,4/27/2020
Coronado,8,36.895,4/27/2020
Del Mar-Mira Mesa,117.03,68.489,4/27/2020
East Region,537,110.606,4/27/2020
El Cajon,204.76,155.807,4/27/2020
Elliott-Navajo,65.94,69.717,4/27/2020
Escondido,107.6,62.097,4/27/2020
Fallbrook,13.97,28.766,4/27/2020
Harbison Crest,21.12,139.41,4/27/2020
Harbison Crest-El Cajon,225.88,154.113,4/27/2020
Jamul,25.49,130.094,4/27/2020
Kearny Mesa,134.31,78.651,4/27/2020
La Mesa,71.17,112.363,4/27/2020
Laguna-Pine Valley,,,4/27/2020
Lakeside,46.21,77.555,4/27/2020
Lemon Grove,38.93,126.421,4/27/2020
Mid-City,184.67,107.925,4/27/2020
Miramar,8.86,128.904,4/27/2020
Mountain Empire,5,60.847,4/27/2020
National City,119.32,193.271,4/27/2020
North Central Region,459,68.984,4/27/2020
North Coastal Region,251,44.641,4/27/2020
North County,586,50.091,4/27/2020
North Inland Region,335,55.134,4/27/2020
North San Diego,96.33,79.664,4/27/2020
Oceanside,71.14,41.994,4/27/2020
Palomar-Julian,,,4/27/2020
Pauma,,,4/27/2020
Pendleton,,,4/27/2020
Peninsula,52.68,75.321,4/27/2020
Poway,51.74,57.333,4/27/2020
Ramona,15.91,45.223,4/27/2020
San Diego County,3314,99.297,4/27/2020
San Dieguito,55.54,54.653,4/27/2020
San Marcos,33.74,33.421,4/27/2020
Santee,28.55,52.584,4/27/2020
South Bay,416.56,309.598,4/27/2020
South Region,1004,201.24,4/27/2020
Southeastern San Diego,232.38,159.631,4/27/2020
Spring Valley,100.93,120.107,4/27/2020
Supervisorial District 1,1188.29,189.234,4/27/2020
Supervisorial District 2,648.14,99.019,4/27/2020
Supervisorial District 3,428.31,63.975,4/27/2020
Supervisorial District 4,728.67,102.586,4/27/2020
Supervisorial District 5,267.59,39.634,4/27/2020
Sweetwater,225.39,150.39,4/27/2020
Unincorporated,397.89,77.543,4/27/2020
University,34.68,47.834,4/27/2020
Valley Center,7.16,31.449,4/27/2020
Vista,50.74,46.949,4/27/2020
