Geography,"Allocated
Age30_39
Case
Count
(Raw)","COVID-19
Total
Age30_39
Rate
(Suppressed)",Date
Alpine,7.4,394.4,7/14/2020
Anza-Borrego Springs,,,7/14/2020
Carlsbad,54.6,348.4,7/14/2020
Central Region,956.0,1189.7,7/14/2020
Central San Diego,370.4,1015.1,7/14/2020
Chula Vista,307.8,1990.5,7/14/2020
City of Carlsbad,45.7,325.0,7/14/2020
City of Chula Vista,557.5,1656.1,7/14/2020
City of Coronado,11.0,391.6,7/14/2020
City of Del Mar,,,7/14/2020
City of El Cajon,146.8,1077.6,7/14/2020
City of Encinitas,27.2,330.0,7/14/2020
City of Escondido,135.4,715.1,7/14/2020
City of Imperial Beach,58.0,1420.9,7/14/2020
City of La Mesa,69.9,743.8,7/14/2020
City of Lemon Grove,32.0,928.6,7/14/2020
City of National City,151.0,1918.7,7/14/2020
City of Oceanside,121.2,509.4,7/14/2020
City of Poway,18.0,316.2,7/14/2020
City of San Diego,1948.0,915.5,7/14/2020
City of San Marcos,66.8,566.2,7/14/2020
City of Santee,41.2,549.5,7/14/2020
City of Solana Beach,5.3,296.3,7/14/2020
City of Vista,82.7,609.6,7/14/2020
Coastal,76.3,445.3,7/14/2020
Coronado,11.0,391.6,7/14/2020
Del Mar-Mira Mesa,107.9,497.8,7/14/2020
East Region,580.0,917.1,7/14/2020
El Cajon,179.8,1063.7,7/14/2020
Elliott-Navajo,82.1,609.4,7/14/2020
Escondido,150.2,697.8,7/14/2020
Fallbrook,35.9,619.3,7/14/2020
Harbison Crest,17.5,910.8,7/14/2020
Harbison Crest-El Cajon,197.3,1048.1,7/14/2020
Jamul,26.6,1159.0,7/14/2020
Kearny Mesa,175.1,639.9,7/14/2020
La Mesa,72.0,743.2,7/14/2020
Laguna-Pine Valley,,,7/14/2020
Lakeside,52.9,706.2,7/14/2020
Lemon Grove,39.7,1006.8,7/14/2020
Mid-City,272.4,1064.1,7/14/2020
Miramar,5.3,562.4,7/14/2020
Mountain Empire,11.9,1285.7,7/14/2020
National City,150.6,1929.9,7/14/2020
North Central Region,516.0,507.0,7/14/2020
North Coastal Region,307.0,429.6,7/14/2020
North County,694.0,476.4,7/14/2020
North Inland Region,387.0,521.4,7/14/2020
North San Diego,41.2,276.0,7/14/2020
Oceanside,119.4,525.3,7/14/2020
Palomar-Julian,,,7/14/2020
Pauma,5.5,556.8,7/14/2020
Pendleton,,,7/14/2020
Peninsula,43.6,390.3,7/14/2020
Poway,32.3,311.2,7/14/2020
Ramona,26.6,648.6,7/14/2020
San Diego County,3996.0,877.1,7/14/2020
San Dieguito,43.0,337.7,7/14/2020
San Marcos,72.8,578.3,7/14/2020
Santee,39.9,559.9,7/14/2020
South Bay,500.5,2700.2,7/14/2020
South Region,1250.0,1936.4,7/14/2020
Southeastern San Diego,327.4,1691.0,7/14/2020
Spring Valley,137.5,1279.0,7/14/2020
Supervisorial District 1,1565.0,1898.4,7/14/2020
Supervisorial District 2,701.6,833.8,7/14/2020
Supervisorial District 3,412.1,466.6,7/14/2020
Supervisorial District 4,907.5,781.7,7/14/2020
Supervisorial District 5,409.8,484.4,7/14/2020
Sweetwater,262.1,1383.9,7/14/2020
Unincorporated,476.9,767.9,7/14/2020
University,30.0,274.5,7/14/2020
Valley Center,15.7,576.9,7/14/2020
Vista,84.9,604.1,7/14/2020
