Geography,"Allocated
Age60_69
Case
Count
(Raw)","COVID-19
Total
Age60_69
Rate
(Suppressed)",Date
Alpine,,,7/8/2020
Anza-Borrego Springs,,,7/8/2020
Carlsbad,23.1,151.0,7/8/2020
Central Region,364.0,766.1,7/8/2020
Central San Diego,106.7,543.3,7/8/2020
Chula Vista,129.3,1174.8,7/8/2020
City of Carlsbad,19.3,135.5,7/8/2020
City of Chula Vista,234.2,1007.4,7/8/2020
City of Coronado,,,7/8/2020
City of Del Mar,,,7/8/2020
City of El Cajon,95.7,797.8,7/8/2020
City of Encinitas,10.2,120.5,7/8/2020
City of Escondido,72.6,467.2,7/8/2020
City of Imperial Beach,21.0,777.5,7/8/2020
City of La Mesa,16.5,227.5,7/8/2020
City of Lemon Grove,18.0,639.2,7/8/2020
City of National City,74.7,1548.8,7/8/2020
City of Oceanside,53.1,277.4,7/8/2020
City of Poway,10.0,155.7,7/8/2020
City of San Diego,692.5,485.0,7/8/2020
City of San Marcos,18.2,198.4,7/8/2020
City of Santee,18.1,272.3,7/8/2020
City of Solana Beach,,,7/8/2020
City of Vista,40.1,391.0,7/8/2020
Coastal,21.3,231.3,7/8/2020
Coronado,,,7/8/2020
Del Mar-Mira Mesa,35.7,191.3,7/8/2020
East Region,289.0,512.3,7/8/2020
El Cajon,113.9,758.1,7/8/2020
Elliott-Navajo,16.6,151.7,7/8/2020
Escondido,80.5,453.1,7/8/2020
Fallbrook,16.8,279.7,7/8/2020
Harbison Crest,10.3,581.9,7/8/2020
Harbison Crest-El Cajon,124.1,739.6,7/8/2020
Jamul,18.8,825.9,7/8/2020
Kearny Mesa,50.2,278.9,7/8/2020
La Mesa,17.1,226.7,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,25.1,351.9,7/8/2020
Lemon Grove,22.4,699.8,7/8/2020
Mid-City,94.2,593.0,7/8/2020
Miramar,,,7/8/2020
Mountain Empire,5.3,506.8,7/8/2020
National City,74.3,1561.3,7/8/2020
North Central Region,141.0,199.6,7/8/2020
North Coastal Region,145.0,235.5,7/8/2020
North County,338.0,260.9,7/8/2020
North Inland Region,193.0,283.9,7/8/2020
North San Diego,33.0,241.3,7/8/2020
Oceanside,51.5,284.8,7/8/2020
Palomar-Julian,,,7/8/2020
Pauma,,,7/8/2020
Pendleton,,,7/8/2020
Peninsula,15.1,193.7,7/8/2020
Poway,18.5,164.6,7/8/2020
Ramona,11.9,261.4,7/8/2020
San Diego County,1637.0,470.9,7/8/2020
San Dieguito,19.4,143.4,7/8/2020
San Marcos,21.3,218.1,7/8/2020
Santee,17.7,279.0,7/8/2020
South Bay,174.6,1561.0,7/8/2020
South Region,505.0,1161.2,7/8/2020
Southeastern San Diego,171.7,1273.6,7/8/2020
Spring Valley,58.5,637.6,7/8/2020
Supervisorial District 1,638.6,1194.6,7/8/2020
Supervisorial District 2,332.3,432.0,7/8/2020
Supervisorial District 3,175.6,236.5,7/8/2020
Supervisorial District 4,312.0,436.6,7/8/2020
Supervisorial District 5,178.5,249.6,7/8/2020
Sweetwater,111.3,861.6,7/8/2020
Unincorporated,234.4,409.1,7/8/2020
University,5.6,86.0,7/8/2020
Valley Center,7.3,258.9,7/8/2020
Vista,44.4,413.3,7/8/2020
