Geography,"Allocated
Age10_19
Case
Count
(Raw)","COVID-19
Total
Age10_19
Rate
(Suppressed)",Date
Alpine,,,7/14/2020
Anza-Borrego Springs,,,7/14/2020
Carlsbad,39.9,255.1,7/14/2020
Central Region,260.0,393.2,7/14/2020
Central San Diego,65.0,306.9,7/14/2020
Chula Vista,85.9,462.2,7/14/2020
City of Carlsbad,37.7,264.5,7/14/2020
City of Chula Vista,162.9,396.0,7/14/2020
City of Coronado,24.0,1120.4,7/14/2020
City of Del Mar,,,7/14/2020
City of El Cajon,49.0,355.1,7/14/2020
City of Encinitas,28.0,399.5,7/14/2020
City of Escondido,67.2,296.2,7/14/2020
City of Imperial Beach,17.0,442.2,7/14/2020
City of La Mesa,16.2,268.3,7/14/2020
City of Lemon Grove,23.0,601.0,7/14/2020
City of National City,57.7,581.3,7/14/2020
City of Oceanside,55.1,233.7,7/14/2020
City of Poway,9.0,130.8,7/14/2020
City of San Diego,522.8,286.9,7/14/2020
City of San Marcos,57.8,386.5,7/14/2020
City of Santee,18.1,255.7,7/14/2020
City of Solana Beach,7.2,510.4,7/14/2020
City of Vista,48.9,325.9,7/14/2020
Coastal,15.6,208.3,7/14/2020
Coronado,24.0,1120.4,7/14/2020
Del Mar-Mira Mesa,31.7,137.1,7/14/2020
East Region,213.0,341.1,7/14/2020
El Cajon,60.4,350.7,7/14/2020
Elliott-Navajo,12.3,110.0,7/14/2020
Escondido,77.9,296.0,7/14/2020
Fallbrook,16.8,274.6,7/14/2020
Harbison Crest,6.5,321.3,7/14/2020
Harbison Crest-El Cajon,66.9,347.7,7/14/2020
Jamul,17.7,641.9,7/14/2020
Kearny Mesa,36.3,187.2,7/14/2020
La Mesa,17.1,273.2,7/14/2020
Laguna-Pine Valley,,,7/14/2020
Lakeside,16.4,211.5,7/14/2020
Lemon Grove,25.9,583.1,7/14/2020
Mid-City,83.4,348.2,7/14/2020
Miramar,,,7/14/2020
Mountain Empire,,,7/14/2020
National City,57.4,582.8,7/14/2020
North Central Region,141.0,169.8,7/14/2020
North Coastal Region,201.0,268.0,7/14/2020
North County,406.0,253.2,7/14/2020
North Inland Region,205.0,240.2,7/14/2020
North San Diego,14.8,92.2,7/14/2020
Oceanside,54.7,241.1,7/14/2020
Palomar-Julian,,,7/14/2020
Pauma,8.6,835.6,7/14/2020
Pendleton,,,7/14/2020
Peninsula,31.7,383.2,7/14/2020
Poway,17.7,145.3,7/14/2020
Ramona,10.9,232.3,7/14/2020
San Diego County,1408.0,314.7,7/14/2020
San Dieguito,46.2,401.3,7/14/2020
San Marcos,58.3,381.2,7/14/2020
Santee,17.0,252.5,7/14/2020
South Bay,135.9,670.4,7/14/2020
South Region,388.0,514.6,7/14/2020
Southeastern San Diego,113.8,514.7,7/14/2020
Spring Valley,50.5,429.4,7/14/2020
Supervisorial District 1,488.6,518.9,7/14/2020
Supervisorial District 2,251.8,296.5,7/14/2020
Supervisorial District 3,169.4,192.1,7/14/2020
Supervisorial District 4,236.2,275.1,7/14/2020
Supervisorial District 5,262.0,278.1,7/14/2020
Sweetwater,81.6,351.9,7/14/2020
Unincorporated,205.5,288.8,7/14/2020
University,7.4,56.9,7/14/2020
Valley Center,7.0,227.6,7/14/2020
Vista,53.0,336.2,7/14/2020
