Geography,"Allocated
Age30_39
Case
Count
(Raw)","COVID-19
Total
Age30_39
Rate
(Suppressed)",Date
Alpine,6.4,342.5,7/8/2020
Anza-Borrego Springs,,,7/8/2020
Carlsbad,45.7,291.5,7/8/2020
Central Region,802.0,998.1,7/8/2020
Central San Diego,314.3,861.3,7/8/2020
Chula Vista,269.2,1741.0,7/8/2020
City of Carlsbad,37.6,267.6,7/8/2020
City of Chula Vista,486.2,1444.5,7/8/2020
City of Coronado,9.0,320.4,7/8/2020
City of Del Mar,,,7/8/2020
City of El Cajon,115.6,848.8,7/8/2020
City of Encinitas,25.3,307.7,7/8/2020
City of Escondido,111.8,590.1,7/8/2020
City of Imperial Beach,52.0,1273.9,7/8/2020
City of La Mesa,60.2,640.7,7/8/2020
City of Lemon Grove,25.0,725.5,7/8/2020
City of National City,122.8,1559.9,7/8/2020
City of Oceanside,98.2,412.6,7/8/2020
City of Poway,11.0,193.3,7/8/2020
City of San Diego,1627.5,764.9,7/8/2020
City of San Marcos,50.4,427.6,7/8/2020
City of Santee,34.2,455.6,7/8/2020
City of Solana Beach,5.3,292.6,7/8/2020
City of Vista,63.9,470.9,7/8/2020
Coastal,61.9,361.0,7/8/2020
Coronado,9.0,320.4,7/8/2020
Del Mar-Mira Mesa,88.9,410.0,7/8/2020
East Region,475.0,751.1,7/8/2020
El Cajon,141.0,834.2,7/8/2020
Elliott-Navajo,67.4,500.4,7/8/2020
Escondido,124.5,578.3,7/8/2020
Fallbrook,32.2,555.4,7/8/2020
Harbison Crest,13.9,725.3,7/8/2020
Harbison Crest-El Cajon,155.0,823.0,7/8/2020
Jamul,22.9,995.8,7/8/2020
Kearny Mesa,141.7,518.0,7/8/2020
La Mesa,61.9,639.4,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,46.2,615.9,7/8/2020
Lemon Grove,31.6,800.4,7/8/2020
Mid-City,223.0,871.0,7/8/2020
Miramar,,,7/8/2020
Mountain Empire,10.9,1177.4,7/8/2020
National City,122.4,1568.5,7/8/2020
North Central Region,413.0,405.8,7/8/2020
North Coastal Region,250.0,349.8,7/8/2020
North County,562.0,385.7,7/8/2020
North Inland Region,312.0,420.3,7/8/2020
North San Diego,32.1,214.5,7/8/2020
Oceanside,95.6,420.6,7/8/2020
Palomar-Julian,,,7/8/2020
Pauma,,,7/8/2020
Pendleton,,,7/8/2020
Peninsula,28.5,254.9,7/8/2020
Poway,21.3,205.5,7/8/2020
Ramona,21.7,528.8,7/8/2020
San Diego County,3336.0,732.2,7/8/2020
San Dieguito,39.0,306.6,7/8/2020
San Marcos,54.9,436.2,7/8/2020
Santee,33.2,465.9,7/8/2020
South Bay,438.9,2367.9,7/8/2020
South Region,1084.0,1679.2,7/8/2020
Southeastern San Diego,277.4,1432.6,7/8/2020
Spring Valley,111.9,1041.5,7/8/2020
Supervisorial District 1,1348.4,1635.6,7/8/2020
Supervisorial District 2,572.9,680.9,7/8/2020
Supervisorial District 3,339.6,384.4,7/8/2020
Supervisorial District 4,745.5,642.2,7/8/2020
Supervisorial District 5,329.6,389.6,7/8/2020
Sweetwater,227.7,1202.5,7/8/2020
Unincorporated,398.8,642.3,7/8/2020
University,25.2,230.5,7/8/2020
Valley Center,13.2,486.6,7/8/2020
Vista,65.9,469.1,7/8/2020
