Geography,"Allocated
Age40_49
Case
Count
(Raw)","COVID-19
Total
Age40_49
Rate
(Suppressed)",Date
Alpine,,,7/1/2020
Anza-Borrego Springs,,,7/1/2020
Carlsbad,27.7,173.3,7/1/2020
Central Region,461.0,668.6,7/1/2020
Central San Diego,144.3,484.2,7/1/2020
Chula Vista,164.0,1082.3,7/1/2020
City of Carlsbad,24.6,165.5,7/1/2020
City of Chula Vista,313.9,908.5,7/1/2020
City of Coronado,,,7/1/2020
City of Del Mar,,,7/1/2020
City of El Cajon,77.3,622.4,7/1/2020
City of Encinitas,21.2,258.7,7/1/2020
City of Escondido,91.0,509.3,7/1/2020
City of Imperial Beach,25.0,715.1,7/1/2020
City of La Mesa,29.7,374.2,7/1/2020
City of Lemon Grove,34.0,1054.6,7/1/2020
City of National City,106.3,1547.3,7/1/2020
City of Oceanside,65.1,306.8,7/1/2020
City of Poway,9.0,163.6,7/1/2020
City of San Diego,939.6,501.9,7/1/2020
City of San Marcos,45.1,374.9,7/1/2020
City of Santee,23.1,323.4,7/1/2020
City of Solana Beach,,,7/1/2020
City of Vista,48.5,400.2,7/1/2020
Coastal,19.1,168.4,7/1/2020
Coronado,,,7/1/2020
Del Mar-Mira Mesa,48.6,213.6,7/1/2020
East Region,320.0,550.9,7/1/2020
El Cajon,94.9,614.5,7/1/2020
Elliott-Navajo,22.6,184.5,7/1/2020
Escondido,100.3,490.7,7/1/2020
Fallbrook,14.9,281.3,7/1/2020
Harbison Crest,9.8,555.4,7/1/2020
Harbison Crest-El Cajon,104.7,608.4,7/1/2020
Jamul,19.6,830.3,7/1/2020
Kearny Mesa,70.1,312.5,7/1/2020
La Mesa,30.8,376.6,7/1/2020
Laguna-Pine Valley,,,7/1/2020
Lakeside,27.3,393.9,7/1/2020
Lemon Grove,38.4,1045.0,7/1/2020
Mid-City,148.3,649.1,7/1/2020
Miramar,,,7/1/2020
Mountain Empire,5.7,624.3,7/1/2020
National City,106.2,1559.5,7/1/2020
North Central Region,183.0,212.2,7/1/2020
North Coastal Region,183.0,275.5,7/1/2020
North County,413.0,294.6,7/1/2020
North Inland Region,230.0,311.9,7/1/2020
North San Diego,31.0,188.7,7/1/2020
Oceanside,65.0,319.9,7/1/2020
Palomar-Julian,,,7/1/2020
Pauma,,,7/1/2020
Pendleton,,,7/1/2020
Peninsula,10.2,116.6,7/1/2020
Poway,20.2,181.6,7/1/2020
Ramona,9.0,223.1,7/1/2020
San Diego County,2113.0,507.1,7/1/2020
San Dieguito,33.0,253.9,7/1/2020
San Marcos,48.7,385.9,7/1/2020
Santee,22.2,326.7,7/1/2020
South Bay,297.0,1708.2,7/1/2020
South Region,736.0,1163.9,7/1/2020
Southeastern San Diego,175.6,986.6,7/1/2020
Spring Valley,74.7,741.1,7/1/2020
Supervisorial District 1,875.8,1114.5,7/1/2020
Supervisorial District 2,370.0,476.6,7/1/2020
Supervisorial District 3,229.2,262.3,7/1/2020
Supervisorial District 4,408.6,433.5,7/1/2020
Supervisorial District 5,229.5,291.1,7/1/2020
Sweetwater,153.9,770.8,7/1/2020
Unincorporated,252.3,440.0,7/1/2020
University,10.9,131.5,7/1/2020
Valley Center,6.8,269.8,7/1/2020
Vista,52.0,412.5,7/1/2020
