Geography,"Allocated
Age40_49
Case
Count
(Raw)","COVID-19
Total
Age40_49
Rate
(Suppressed)",Date
Alpine,,,6/17/2020
Anza-Borrego Springs,,,6/17/2020
Carlsbad,16.2,101.5,6/17/2020
Central Region,331.0,480.0,6/17/2020
Central San Diego,102.8,345.0,6/17/2020
Chula Vista,116.7,770.2,6/17/2020
City of Carlsbad,14.4,96.8,6/17/2020
City of Chula Vista,224.4,649.4,6/17/2020
City of Coronado,,,6/17/2020
City of Del Mar,,,6/17/2020
City of El Cajon,63.1,507.9,6/17/2020
City of Encinitas,12.9,156.9,6/17/2020
City of Escondido,60.7,340.0,6/17/2020
City of Imperial Beach,19.0,543.5,6/17/2020
City of La Mesa,21.4,269.5,6/17/2020
City of Lemon Grove,22.0,682.4,6/17/2020
City of National City,76.4,1112.4,6/17/2020
City of Oceanside,43.0,202.8,6/17/2020
City of Poway,7.0,127.3,6/17/2020
City of San Diego,679.1,362.7,6/17/2020
City of San Marcos,26.8,222.5,6/17/2020
City of Santee,16.1,224.9,6/17/2020
City of Solana Beach,,,6/17/2020
City of Vista,22.2,183.5,6/17/2020
Coastal,16.8,148.3,6/17/2020
Coronado,,,6/17/2020
Del Mar-Mira Mesa,27.9,122.5,6/17/2020
East Region,233.0,401.1,6/17/2020
El Cajon,76.2,493.5,6/17/2020
Elliott-Navajo,13.9,113.1,6/17/2020
Escondido,67.1,328.1,6/17/2020
Fallbrook,8.3,157.7,6/17/2020
Harbison Crest,6.8,388.0,6/17/2020
Harbison Crest-El Cajon,83.1,482.7,6/17/2020
Jamul,12.9,545.1,6/17/2020
Kearny Mesa,42.9,191.2,6/17/2020
La Mesa,22.1,270.0,6/17/2020
Laguna-Pine Valley,,,6/17/2020
Lakeside,20.3,293.0,6/17/2020
Lemon Grove,25.4,690.4,6/17/2020
Mid-City,100.9,441.8,6/17/2020
Miramar,,,6/17/2020
Mountain Empire,5.1,559.4,6/17/2020
National City,76.2,1120.0,6/17/2020
North Central Region,111.0,128.7,6/17/2020
North Coastal Region,107.0,161.1,6/17/2020
North County,258.0,184.0,6/17/2020
North Inland Region,151.0,204.7,6/17/2020
North San Diego,23.5,143.2,6/17/2020
Oceanside,42.1,207.0,6/17/2020
Palomar-Julian,,,6/17/2020
Pauma,,,6/17/2020
Pendleton,,,6/17/2020
Peninsula,,,6/17/2020
Poway,12.3,110.7,6/17/2020
Ramona,6.0,149.6,6/17/2020
San Diego County,1489.0,357.3,6/17/2020
San Dieguito,20.8,160.4,6/17/2020
San Marcos,28.2,223.6,6/17/2020
Santee,15.6,230.1,6/17/2020
South Bay,239.3,1376.3,6/17/2020
South Region,556.0,879.3,6/17/2020
Southeastern San Diego,132.3,743.1,6/17/2020
Spring Valley,52.7,523.6,6/17/2020
Supervisorial District 1,658.5,837.9,6/17/2020
Supervisorial District 2,266.4,343.2,6/17/2020
Supervisorial District 3,147.6,168.9,6/17/2020
Supervisorial District 4,284.5,301.9,6/17/2020
Supervisorial District 5,131.9,167.4,6/17/2020
Sweetwater,111.7,559.5,6/17/2020
Unincorporated,175.0,305.2,6/17/2020
University,7.1,86.4,6/17/2020
Valley Center,,,6/17/2020
Vista,24.7,195.7,6/17/2020
